"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105001,440,"EFE_full","EFE_full",-241.846584013752,-289.932869405173,-267.834218696923,-304.984759446376,-250.97674610412,-296.019644132085,-273.920993423835,-311.071534173289,48.0862853914211,45.042898027965
"EFE_full",105002,440,"EFE_full","EFE_full",-256.908434318795,-299.783479898091,-270.318634287086,-304.984759446376,-266.038596409163,-305.870254625003,-276.405409013998,-311.071534173289,42.8750455792958,39.8316582158396
"EFE_full",105003,440,"EFE_full","EFE_full",-238.44690272646,-292.337484196248,-264.803151797578,-304.984759446376,-247.577064816828,-298.42425892316,-270.88992652449,-311.071534173289,53.8905814697882,50.8471941063321
"EFE_full",105004,440,"EFE_full","EFE_full",-257.30696390587,-300.402166578476,-272.672941461588,-304.984759446376,-266.437125996238,-306.488941305388,-278.759716188501,-311.071534173289,43.0952026726058,40.0518153091496
"EFE_full",105005,440,"EFE_full","EFE_full",-253.319770664306,-300.692154624709,-270.970095602467,-304.984759446376,-262.449932754674,-306.778929351621,-277.056870329379,-311.071534173289,47.3723839604032,44.328996596947
"EFE_full",105006,440,"EFE_full","EFE_full",-246.7050420397,-291.595483877868,-271.328910963111,-304.984759446376,-255.835204130068,-297.68225860478,-277.415685690023,-311.071534173289,44.890441838168,41.8470544747119
"EFE_full",105007,440,"no_epistemic","no_epistemic",-280.729683773474,-291.374659304358,-260.527640994858,-304.984759446376,-289.859845863842,-297.46143403127,-266.61441572177,-311.071534173289,10.6449755308842,7.60158816742802
"EFE_full",105008,440,"EFE_full","EFE_full",-255.990012814867,-297.942309094396,-262.79453565513,-304.984759446376,-265.120174905235,-304.029083821309,-268.881310382042,-311.071534173289,41.9522962795296,38.9089089160735
"EFE_full",105009,440,"EFE_full","EFE_full",-249.123866584992,-292.813669266396,-273.593923763552,-304.984759446376,-258.254028675361,-298.900443993308,-279.680698490464,-311.071534173289,43.689802681404,40.6464153179478
"EFE_full",105010,440,"EFE_full","EFE_full",-242.444913357022,-293.171400387951,-267.979659000481,-304.984759446376,-251.57507544739,-299.258175114863,-274.066433727393,-311.071534173289,50.7264870309292,47.6830996674731
"EFE_full",105011,440,"EFE_full","EFE_full",-248.210153184109,-294.318713514728,-274.16938617799,-Inf,-257.340315274477,-300.40548824164,-280.256160904902,-Inf,46.1085603306188,43.0651729671627
"EFE_full",105012,440,"EFE_full","EFE_full",-255.520458043612,-299.603032660067,-270.048787469257,-304.984759446376,-264.65062013398,-305.689807386979,-276.135562196169,-311.071534173289,44.0825746164552,41.0391872529991
"EFE_full",105013,440,"EFE_full","EFE_full",-243.86923751819,-294.326901212808,-266.377433204785,-304.984759446376,-252.999399608559,-300.41367593972,-272.464207931698,-311.071534173289,50.4576636946178,47.4142763311617
"EFE_full",105014,440,"EFE_full","EFE_full",-250.995687313635,-292.433532801455,-274.287966060365,-304.984759446376,-260.125849404004,-298.520307528367,-280.374740787278,-311.071534173289,41.4378454878195,38.3944581243634
"EFE_full",105015,440,"EFE_full","EFE_full",-254.567239958899,-301.643746975927,-266.727470280364,-304.984759446376,-263.697402049268,-307.730521702839,-272.814245007276,-311.071534173289,47.0765070170278,44.0331196535717
"EFE_full",105016,440,"EFE_full","EFE_full",-251.836189603104,-294.860629334669,-268.047382342778,-304.984759446376,-260.966351693472,-300.947404061582,-274.13415706969,-311.071534173289,43.0244397315657,39.9810523681096
"EFE_full",105017,440,"EFE_full","EFE_full",-250.42227663819,-292.627315380467,-268.416838927782,-304.984759446376,-259.552438728559,-298.714090107379,-274.503613654694,-311.071534173289,42.2050387422763,39.1616513788201
"EFE_full",105018,440,"EFE_full","EFE_full",-255.159204580257,-302.956084727788,-273.994023026698,-304.984759446376,-264.289366670625,-309.0428594547,-280.08079775361,-311.071534173289,47.7968801475309,44.7534927840748
"EFE_full",105019,440,"EFE_full","EFE_full",-248.042058861628,-363.546889121871,-264.688820019942,-304.984759446376,-257.172220951997,-369.633663848784,-270.775594746854,-311.071534173289,115.504830260243,112.461442896787
