"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105001,440,"EFE_full","EFE_full",-227.473724077796,-317.449463950071,-256.453577529708,-304.984759446376,-236.603886168165,-323.536238676983,-262.54035225662,-311.071534173289,89.9757398722746,86.9323525088185
"EFE_full",105002,440,"EFE_full","EFE_full",-249.30439734018,-319.711295700215,-262.566012955479,-304.984759446376,-258.434559430548,-325.798070427128,-268.652787682391,-311.071534173289,70.4068983600358,67.3635109965796
"EFE_full",105003,440,"EFE_full","EFE_full",-227.694914715799,-312.214262626697,-255.248914012757,-304.984759446376,-236.825076806167,-318.30103735361,-261.33568873967,-311.071534173289,84.5193479108986,81.4759605474425
"EFE_full",105004,440,"EFE_full","EFE_full",-246.860681872584,-353.878172509789,-261.354492468846,-304.984759446376,-255.990843962952,-359.964947236701,-267.441267195758,-311.071534173289,107.017490637205,103.974103273749
"EFE_full",105005,440,"EFE_full","EFE_full",-243.939932340596,-371.691055632527,-263.755286109507,-304.984759446376,-253.070094430965,-377.77783035944,-269.84206083642,-311.071534173289,127.751123291931,124.707735928475
"EFE_full",105006,440,"EFE_full","EFE_full",-231.965149890892,-321.990309278117,-261.981371563414,-304.984759446376,-241.09531198126,-328.077084005029,-268.068146290326,-311.071534173289,90.025159387225,86.9817720237688
"EFE_full",105007,440,"no_epistemic","no_epistemic",-284.710457581487,-318.166771738984,-255.172277084946,-304.984759446376,-293.840619671855,-324.253546465896,-261.259051811858,-311.071534173289,33.456314157497,30.4129267940409
"EFE_full",105008,440,"EFE_full","EFE_full",-246.162971871428,-314.017967344437,-257.040027241126,-304.984759446376,-255.293133961796,-320.104742071349,-263.126801968038,-311.071534173289,67.8549954730092,64.811608109553
"EFE_full",105009,440,"EFE_full","EFE_full",-236.500049138086,-308.103629854492,-263.6746334243,-304.984759446376,-245.630211228455,-314.190404581404,-269.761408151212,-311.071534173289,71.6035807164058,68.5601933529497
"EFE_full",105010,440,"EFE_full","EFE_full",-237.970056977685,-310.566089904566,-261.486550719594,-304.984759446376,-247.100219068053,-316.652864631479,-267.573325446506,-311.071534173289,72.5960329268813,69.5526455634251
"EFE_full",105011,440,"EFE_full","EFE_full",-243.842709281411,-317.337953273285,-267.757465118797,-304.984759446376,-252.972871371779,-323.424728000197,-273.844239845709,-311.071534173289,73.4952439918736,70.4518566284175
"EFE_full",105012,440,"EFE_full","EFE_full",-241.661590161231,-326.770821740258,-261.17134372805,-304.984759446376,-250.7917522516,-332.85759646717,-267.258118454962,-311.071534173289,85.1092315790265,82.0658442155704
"EFE_full",105013,440,"EFE_full","EFE_full",-234.619333603654,-325.223772065386,-259.138646172073,-304.984759446376,-243.749495694022,-331.310546792299,-265.225420898985,-311.071534173289,90.6044384617327,87.5610510982766
"EFE_full",105014,440,"EFE_full","EFE_full",-244.65676763699,-311.354770013925,-267.945816944082,-304.984759446376,-253.786929727359,-317.441544740838,-274.032591670994,-311.071534173289,66.6980023769351,63.654615013479
"EFE_full",105015,440,"EFE_full","EFE_full",-242.006982122567,-364.63494377199,-258.788479580585,-304.984759446376,-251.137144212935,-370.721718498902,-264.875254307498,-311.071534173289,122.627961649423,119.584574285967
"EFE_full",105016,440,"EFE_full","EFE_full",-234.786281535792,-316.220943243535,-259.329496205081,-304.984759446376,-243.91644362616,-322.307717970447,-265.416270931993,-311.071534173289,81.4346617077432,78.3912743442871
"EFE_full",105017,440,"EFE_full","EFE_full",-234.082342347811,-322.043225129735,-259.3508301965,-304.984759446376,-243.212504438179,-328.129999856647,-265.437604923413,-311.071534173289,87.9608827819243,84.9174954184682
"EFE_full",105018,440,"EFE_full","EFE_full",-257.097907593304,-391.573008646047,-265.759840585245,-304.984759446376,-266.228069683672,-397.659783372959,-271.846615312158,-311.071534173289,134.475101052743,131.431713689287
"EFE_full",105019,440,"no_epistemic","no_epistemic",-286.154652587797,-868.925301103951,-257.044994103011,-304.984759446376,-295.284814678165,-875.012075830864,-263.131768829923,-311.071534173289,582.770648516155,579.727261152698
"EFE_full",105020,440,"EFE_full","EFE_full",-247.591062131013,-341.45607675832,-259.443557370289,-304.984759446376,-256.721224221382,-347.542851485232,-265.530332097201,-311.071534173289,93.8650146273068,90.8216272638507
"EFE_full",105021,440,"EFE_full","EFE_full",-243.71783085782,-324.274387125735,-262.806847474734,-304.984759446376,-252.847992948189,-330.361161852647,-268.893622201646,-311.071534173289,80.5565562679144,77.5131689044583
"EFE_full",105022,440,"EFE_full","EFE_full",-244.200034872769,-309.747009313055,-265.856015784954,-304.984759446376,-253.330196963138,-315.833784039967,-271.942790511866,-311.071534173289,65.5469744402855,62.5035870768294
"EFE_full",105023,440,"EFE_full","EFE_full",-250.81975035754,-314.611535062732,-264.427589365153,-304.984759446376,-259.949912447908,-320.698309789644,-270.514364092065,-311.071534173289,63.7917847051917,60.7483973417355
"EFE_full",105024,440,"EFE_full",NA,-253.043049638989,-316.637597249101,-256.146781424773,-304.984759446376,-262.173211729358,-322.724371976014,-262.233556151685,-311.071534173289,63.5945476101119,60.5511602466557
"EFE_full",105025,440,"EFE_full",NA,-258.23091196792,-316.453515269512,-263.055945118645,-304.984759446376,-267.361074058288,-322.540289996424,-269.142719845558,-311.071534173289,58.2226033015922,55.1792159381361
"EFE_full",105026,440,"EFE_full","EFE_full",-234.080405912088,-332.482843986755,-268.20463108923,-304.984759446376,-243.210568002457,-338.569618713668,-274.291405816143,-311.071534173289,98.4024380746673,95.3590507112111
"EFE_full",105027,440,"EFE_full","EFE_full",-243.74076360049,-360.130640510766,-265.164148767712,-304.984759446376,-252.870925690859,-366.217415237679,-271.250923494625,-311.071534173289,116.389876910276,113.34648954682
